Sort	Order	Family	Subfamily	Genus	Species	Type Species?	Exemplar Accession Number	Exemplar Isolate	Genome Composition	Last Change	MSL of Last Change	Proposal	Taxon History URL
1	Bunyavirales	Feraviridae		Orthoferavirus	Ferak orthoferavirus	1	L:KP710246,M:KP710264,S:KP710267	ferak virus C51-CI-2004	ssRNA(-)	New,	31	2016.021a-dM.A.v2.Orthoferavirus	ICTVonline=20164769
2	Bunyavirales	Fimoviridae		Emaravirus	Actinidia chlorotic ringspot-associated emaravirus	0	RNA1:KT861481,RNA2:KT861482,RNA3:KT861483,RNA4:KT861484,RNA5:KT861485	Actinidia chlorotic ringspot associated virus HN-6	ssRNA(-)	New,	31	2016.016aP.A.v3.Emaravirus_sp	ICTVonline=20164770
3	Bunyavirales	Fimoviridae		Emaravirus	European mountain ash ringspot-associated emaravirus	1	RNA1: AY563040, RNA2: AY563041, RNA3: DQ831831, RNA4: DQ831828	Mielke	ssRNA(-)	Renamed,Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20164483
4	Bunyavirales	Fimoviridae		Emaravirus	Fig mosaic emaravirus	0	RNA1: AM941711, RNA2: FM864225, RNA3: FM991954, RNA4: FM992851, RNA5: HE803826, RNA6: HE803827	Gr10 	ssRNA(-)	Renamed,Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20164484
5	Bunyavirales	Fimoviridae		Emaravirus	High Plains wheat mosaic emaravirus	0	KJ939623 to KJ939631	Wheat mosaic virus -Nebraska	ssRNA(-)	Renamed,Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20164485
6	Bunyavirales	Fimoviridae		Emaravirus	Pigeonpea sterility mosaic emaravirus 1	0	RNA1: HF568801, RNA2: HF568802, RNA3: HF568803, RNA4: HF568804, RNA5: HF945448	India:Patancheru, Andhra 	ssRNA(-)	Renamed,Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20164486
7	Bunyavirales	Fimoviridae		Emaravirus	Pigeonpea sterility mosaic emaravirus 2	0	RNA1:HF912243,RNA2:HF912244,RNA3:HF912245,RNA4:HF912246,RNA5:HG939489,RNA6:HG939490	pigeonpea sterility mosaic virus isolate ICP8863	ssRNA(-)	New,	31	2016.017aP.A.v3.Emaravirus_sp	ICTVonline=20164771
8	Bunyavirales	Fimoviridae		Emaravirus	Raspberry leaf blotch emaravirus	0	RNA1: FR823299, RNA2: FR823300, RNA3: FR823301, RNA4: FR823302, RNA5: FR823303	United Kingdom:Tayside 	ssRNA(-)	Renamed,Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20164487
9	Bunyavirales	Fimoviridae		Emaravirus	Redbud yellow ringspot-associated emaravirus	0	RNA1:JF795479,RNA2:JF795480,RNA3:JF795481,RNA4:JF795482,RNA5:KU904300	redbud yellow ringspot virus isolate Arkansas	ssRNA(-)	New,	31	2016.018aP.A.v4.Emaravirus_sp	ICTVonline=20164772
10	Bunyavirales	Fimoviridae		Emaravirus	Rose rosette emaravirus	0	RNA1: HQ871942, RNA2: HQ871943, RNA3: HQ871944, RNA4: HQ871945	USA:Arkansas 	ssRNA(-)	Renamed,Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20164488
11	Bunyavirales	Hantaviridae		Orthohantavirus	Amga orthohantavirus	0	M:KF974359,S:KF974360	Amga virus AH301	ssRNA(-)	New,	31	2016.023a-cM.A.v2.Hantavirus_sprev	ICTVonline=20164773
